well,depth,zone,sub_zone
1,1953.600000,B,2
1,1953.800000,B,2
1,1954.000000,B,2
1,1954.200000,B,2
1,1954.400000,B,2
1,1954.600000,B,2
1,1954.800000,B,2
1,1955.000000,B,2
1,1955.200000,B,2
1,1955.400000,B,2
1,1955.600000,B,1
1,1955.800000,B,1
1,1956.000000,B,1
1,1956.200000,B,1
1,1956.400000,B,1
1,1956.600000,B,1
1,1956.800000,B,1
1,1957.000000,B,1
1,1957.200000,B,1
1,1957.400000,B,1
1,1957.600000,B,1
1,1957.800000,B,1
1,1958.000000,B,1
1,1958.200000,B,1
1,1958.400000,B,1
1,1958.600000,B,1
1,1958.800000,B,1
1,1959.000000,B,1
1,1959.200000,B,1
1,1959.400000,B,1
1,1959.600000,B,1
1,1959.800000,B,1
1,1960.000000,B,1
1,1960.200000,B,1
1,1960.400000,B,1
1,1960.600000,B,1
1,1960.800000,B,1
1,1961.000000,B,1
1,1961.200000,B,1
1,1961.400000,B,1
1,1961.600000,B,1
1,1961.800000,B,2
1,1962.000000,B,2
1,1962.200000,B,2
1,1962.400000,B,2
1,1962.600000,B,2
1,1962.800000,B,2
1,1963.000000,B,2
1,1963.200000,B,2
1,1963.400000,B,2
1,1963.600000,B,2
1,1963.800000,B,2
1,1964.000000,B,2
1,1964.200000,B,2
1,1964.400000,B,2
1,1964.600000,B,2
1,1964.800000,B,2
1,1965.000000,B,2
1,1965.200000,B,2
1,1965.400000,B,2
1,1965.600000,B,2
1,1965.800000,B,2
1,1966.000000,B,2
1,1966.200000,B,2
1,1966.400000,B,2
1,1966.600000,B,2
1,1966.800000,B,2
1,1967.000000,B,2
1,1967.200000,B,2
1,1967.400000,B,2
1,1967.600000,B,2
1,1967.800000,B,2
1,1968.000000,B,2
1,1968.200000,B,2
1,1968.400000,B,2
1,1968.600000,B,2
1,1968.800000,B,2
1,1969.000000,B,2
1,1969.200000,B,2
1,1969.400000,B,2
1,1969.600000,B,2
1,1969.800000,B,2
1,1970.000000,B,2
1,1970.200000,B,2
1,1970.400000,B,2
1,1970.600000,B,2
1,1970.800000,B,2
1,1971.000000,B,1
1,1971.200000,B,1
1,1971.400000,B,1
1,1971.600000,B,1
1,1971.800000,B,1
1,1972.000000,B,1
1,1972.200000,B,1
1,1972.400000,B,1
1,1972.600000,B,1
1,1972.800000,B,2
1,1973.000000,B,2
1,1973.200000,B,2
1,1973.400000,B,2
1,1973.600000,B,2
1,1973.800000,B,2
1,1974.000000,B,2
1,1974.200000,B,2
1,1974.400000,B,2
1,1974.600000,B,2
1,1974.800000,B,2
1,1975.000000,B,2
1,1975.200000,B,2
1,1975.400000,B,2
1,1975.600000,B,2
1,1975.800000,B,2
1,1976.000000,B,2
1,1976.200000,B,2
1,1976.400000,B,2
1,1976.600000,B,2
1,1976.800000,B,2
1,1977.000000,B,2
1,1977.200000,B,2
1,1977.400000,B,2
1,1977.600000,B,2
1,1977.800000,B,2
1,1978.000000,B,2
1,1978.200000,B,2
1,1978.400000,B,1
1,1978.600000,B,1
1,1978.800000,B,1
1,1979.000000,B,1
1,1979.200000,B,1
1,1979.400000,B,1
1,1979.600000,B,1
1,1979.800000,B,1
1,1980.000000,B,1
1,1980.200000,B,1
1,1980.400000,B,1
1,1980.600000,B,1
1,1980.800000,B,1
1,1981.000000,B,1
1,1981.200000,B,1
1,1981.400000,B,1
1,1981.600000,B,1
1,1981.800000,B,1
1,1982.000000,B,2
1,1982.200000,B,2
1,1982.400000,B,2
1,1982.600000,B,2
1,1982.800000,B,2
1,1983.000000,B,2
1,1983.200000,B,2
1,1983.400000,B,2
1,1983.600000,B,2
1,1983.800000,B,2
1,1984.000000,B,2
1,1984.200000,B,2
1,1984.400000,B,2
1,1984.600000,B,2
1,1984.800000,B,2
1,1985.000000,B,2
1,1985.200000,B,2
1,1985.400000,B,2
1,1985.600000,B,2
1,1985.800000,B,2
1,1986.000000,B,2
1,1986.200000,B,1
1,1986.400000,B,1
1,1986.600000,B,1
1,1986.800000,B,1
1,1987.000000,B,1
1,1987.200000,B,1
1,1987.400000,B,1
1,1987.600000,B,1
1,1987.800000,B,1
1,1988.000000,B,1
1,1988.200000,B,1
1,1988.400000,B,1
1,1988.600000,B,1
1,1988.800000,B,1
1,1989.000000,B,1
1,1989.200000,B,1
1,1989.400000,B,1
1,1989.600000,B,1
1,1989.800000,B,1
1,1990.000000,B,1
1,1990.200000,B,1
1,1990.400000,B,1
1,1990.600000,B,1
1,1990.800000,B,1
1,1991.000000,B,1
1,1991.200000,B,1
1,1991.400000,B,1
1,1991.600000,B,1
1,1991.800000,B,1
1,1992.000000,B,1
1,1992.200000,B,1
1,1992.400000,B,1
1,1992.600000,B,1
1,1992.800000,B,1
1,1993.000000,B,1
1,1993.200000,B,1
1,1993.400000,B,1
1,1993.600000,B,1
1,1993.800000,B,1
1,1994.000000,B,1
1,1994.200000,B,1
1,1994.400000,B,1
1,1994.600000,B,1
1,1994.800000,B,1
1,1995.000000,B,1
1,1995.200000,B,1
1,1995.400000,B,1
1,1995.600000,B,1
1,1995.800000,B,1
1,1996.000000,B,1
1,1996.200000,B,1
1,1996.400000,B,1
1,1996.600000,B,1
1,1996.800000,B,1
1,1997.000000,B,2
1,1997.200000,B,2
1,1997.400000,B,2
1,1997.600000,B,2
1,1997.800000,B,2
1,1998.000000,B,2
1,1998.200000,B,2
1,1998.400000,B,2
1,1998.600000,B,2
1,1998.800000,B,2
1,1999.000000,B,2
1,1999.200000,B,2
1,1999.400000,B,2
1,1999.600000,B,2
1,1999.800000,B,2
1,2000.000000,B,2
1,2000.200000,B,2
1,2000.400000,B,2
1,2000.600000,B,2
1,2000.800000,B,2
1,2001.000000,B,2
1,2001.200000,B,2
1,2001.400000,B,2
1,2001.600000,B,2
1,2001.800000,B,2
1,2002.000000,B,2
1,2002.200000,B,2
1,2002.400000,B,1
1,2002.600000,B,1
1,2002.800000,B,1
1,2003.000000,B,1
1,2003.200000,B,1
1,2003.400000,B,1
1,2003.600000,B,1
1,2003.800000,B,1
1,2004.000000,B,1
1,2004.200000,B,1
1,2004.400000,B,1
1,2004.600000,B,1
1,2004.800000,B,1
1,2005.000000,B,1
1,2005.200000,B,1
1,2005.400000,B,1
1,2005.600000,B,1
1,2005.800000,B,1
1,2006.000000,B,2
1,2006.200000,B,2
1,2006.400000,B,2
1,2006.600000,B,2
1,2006.800000,B,2
1,2007.000000,B,2
1,2007.200000,B,2
1,2007.400000,B,2
1,2007.600000,B,2
1,2007.800000,B,2
1,2008.000000,B,2
1,2008.200000,B,2
1,2008.400000,B,2
1,2008.600000,B,2
1,2008.800000,B,2
1,2009.000000,B,2
1,2009.200000,B,2
1,2009.400000,B,2
1,2009.600000,B,2
1,2009.800000,B,2
1,2010.000000,B,1
1,2010.200000,B,1
1,2010.400000,B,1
1,2010.600000,B,1
1,2010.800000,B,1
1,2011.000000,B,1
1,2011.200000,B,1
1,2011.400000,B,1
1,2011.600000,B,1
1,2011.800000,B,1
1,2012.000000,B,1
1,2012.200000,B,1
1,2012.400000,B,1
1,2012.600000,B,1
1,2012.800000,B,1
1,2013.000000,B,1
1,2013.200000,B,1
1,2013.400000,B,1
1,2013.600000,B,1
1,2013.800000,B,1
1,2014.000000,B,1
1,2014.200000,B,1
1,2014.400000,B,1
1,2014.600000,B,1
1,2014.800000,B,1
1,2015.000000,B,1
