well,depth,zone,sub_zone
1,2126.400000,C,0
1,2126.600000,C,0
1,2126.800000,C,0
1,2127.000000,C,0
1,2127.200000,C,0
1,2127.400000,C,0
1,2127.600000,C,0
1,2127.800000,C,0
1,2128.000000,C,0
1,2128.200000,C,0
1,2128.400000,C,0
1,2128.600000,C,0
1,2128.800000,C,0
1,2129.000000,C,0
1,2129.200000,C,0
1,2129.400000,C,0
1,2129.600000,C,0
1,2129.800000,C,0
1,2130.000000,C,0
1,2130.200000,C,0
1,2130.400000,C,0
1,2130.600000,C,0
1,2130.800000,C,0
1,2131.000000,C,0
1,2131.200000,C,0
1,2131.400000,C,0
1,2131.600000,C,0
1,2131.800000,C,0
1,2132.000000,C,0
1,2132.200000,C,0
1,2132.400000,C,0
1,2132.600000,C,0
1,2132.800000,C,0
1,2133.000000,C,0
1,2133.200000,C,0
1,2133.400000,C,0
1,2133.600000,C,0
1,2133.800000,C,0
1,2134.000000,C,0
1,2134.200000,C,0
1,2134.400000,C,0
1,2134.600000,C,0
1,2134.800000,C,0
1,2135.000000,C,0
1,2135.200000,C,0
1,2135.400000,C,0
1,2135.600000,C,0
1,2135.800000,C,0
1,2136.000000,C,0
1,2136.200000,C,0
1,2136.400000,C,0
1,2136.600000,C,0
1,2136.800000,C,0
1,2137.000000,C,0
1,2137.200000,C,0
1,2137.400000,C,0
1,2137.600000,C,0
1,2137.800000,C,0
1,2138.000000,C,0
1,2138.200000,C,0
1,2138.400000,C,0
1,2138.600000,C,0
1,2138.800000,C,0
1,2139.000000,C,0
1,2139.200000,C,0
1,2139.400000,C,0
1,2139.600000,C,0
1,2139.800000,C,0
1,2140.000000,C,0
1,2140.200000,C,0
1,2140.400000,C,0
1,2140.600000,C,0
1,2140.800000,C,0
1,2141.000000,C,0
1,2141.200000,C,0
1,2141.400000,C,0
1,2141.600000,C,0
1,2141.800000,C,0
1,2142.000000,C,0
1,2142.200000,C,0
1,2142.400000,C,0
1,2142.600000,C,0
1,2142.800000,C,0
1,2143.000000,C,0
1,2143.200000,C,0
1,2143.400000,C,0
1,2143.600000,C,0
1,2143.800000,C,0
1,2144.000000,C,0
1,2144.200000,C,0
1,2144.400000,C,0
1,2144.600000,C,0
1,2144.800000,C,0
1,2145.000000,C,0
1,2145.200000,C,0
1,2145.400000,C,0
1,2145.600000,C,0
1,2145.800000,C,0
1,2146.000000,C,0
1,2146.200000,C,0
1,2146.400000,C,0
1,2146.600000,C,0
1,2146.800000,C,0
1,2147.000000,C,0
1,2147.200000,C,0
1,2147.400000,C,0
1,2147.600000,C,0
1,2147.800000,C,0
1,2148.000000,C,0
1,2148.200000,C,0
1,2148.400000,C,0
1,2148.600000,C,0
1,2148.800000,C,0
1,2149.000000,C,0
1,2149.200000,C,0
1,2149.400000,C,0
1,2149.600000,C,0
1,2149.800000,C,0
1,2150.000000,C,0
1,2150.200000,C,0
1,2150.400000,C,0
1,2150.600000,C,0
1,2150.800000,C,0
1,2151.000000,C,0
1,2151.200000,C,0
1,2151.400000,C,0
1,2151.600000,C,0
1,2151.800000,C,0
1,2152.000000,C,0
1,2152.200000,C,0
1,2152.400000,C,0
1,2152.600000,C,0
1,2152.800000,C,0
1,2153.000000,C,0
1,2153.200000,C,0
1,2153.400000,C,0
1,2153.600000,C,0
1,2153.800000,C,0
1,2154.000000,C,0
1,2154.200000,C,0
1,2154.400000,C,0
1,2154.600000,C,0
1,2154.800000,C,0
1,2155.000000,C,0
1,2155.200000,C,1
1,2155.400000,C,1
1,2155.600000,C,1
1,2155.800000,C,1
1,2156.000000,C,1
1,2156.200000,C,1
1,2156.400000,C,1
1,2156.600000,C,1
1,2156.800000,C,1
1,2157.000000,C,1
1,2157.200000,C,1
1,2157.400000,C,1
1,2157.600000,C,1
1,2157.800000,C,1
1,2158.000000,C,1
1,2158.200000,C,1
1,2158.400000,C,1
1,2158.600000,C,1
1,2158.800000,C,1
1,2159.000000,C,1
1,2159.200000,C,1
1,2159.400000,C,1
1,2159.600000,C,1
1,2159.800000,C,1
1,2160.000000,C,1
1,2160.200000,C,1
1,2160.400000,C,1
1,2160.600000,C,1
1,2160.800000,C,1
1,2161.000000,C,1
1,2161.200000,C,1
1,2161.400000,C,1
1,2161.600000,C,1
1,2161.800000,C,1
1,2162.000000,C,1
1,2162.200000,C,1
1,2162.400000,C,1
1,2162.600000,C,1
1,2162.800000,C,1
1,2163.000000,C,1
1,2163.200000,C,1
1,2163.400000,C,1
1,2163.600000,C,1
1,2163.800000,C,1
1,2164.000000,C,1
1,2164.200000,C,1
1,2164.400000,C,1
1,2164.600000,C,1
1,2164.800000,C,1
1,2165.000000,C,1
1,2165.200000,C,1
1,2165.400000,C,1
1,2165.600000,C,1
1,2165.800000,C,1
1,2166.000000,C,1
1,2166.200000,C,1
1,2166.400000,C,1
1,2166.600000,C,1
1,2166.800000,C,1
1,2167.000000,C,1
1,2167.200000,C,1
1,2167.400000,C,1
1,2167.600000,C,1
1,2167.800000,C,1
1,2168.000000,C,1
1,2168.200000,C,1
1,2168.400000,C,1
1,2168.600000,C,1
1,2168.800000,C,1
1,2169.000000,C,1
1,2169.200000,C,1
1,2169.400000,C,1
1,2169.600000,C,1
1,2169.800000,C,1
1,2170.000000,C,1
1,2170.200000,C,1
1,2170.400000,C,1
1,2170.600000,C,1
1,2170.800000,C,1
1,2171.000000,C,1
1,2171.200000,C,1
1,2171.400000,C,1
1,2171.600000,C,1
1,2171.800000,C,1
1,2172.000000,C,1
1,2172.200000,C,1
1,2172.400000,C,1
1,2172.600000,C,1
1,2172.800000,C,1
1,2173.000000,C,1
1,2173.200000,C,1
1,2173.400000,C,1
1,2173.600000,C,1
1,2173.800000,C,1
1,2174.000000,C,1
1,2174.200000,C,1
1,2174.400000,C,1
1,2174.600000,C,1
1,2174.800000,C,1
1,2175.000000,C,1
1,2175.200000,C,1
1,2175.400000,C,1
1,2175.600000,C,1
1,2175.800000,C,1
1,2176.000000,C,1
1,2176.200000,C,1
1,2176.400000,C,1
1,2176.600000,C,1
1,2176.800000,C,1
1,2177.000000,C,1
1,2177.200000,C,1
1,2177.400000,C,1
1,2177.600000,C,1
1,2177.800000,C,1
1,2178.000000,C,1
1,2178.200000,C,1
1,2178.400000,C,1
1,2178.600000,C,1
1,2178.800000,C,1
1,2179.000000,C,1
1,2179.200000,C,1
1,2179.400000,C,1
1,2179.600000,C,1
1,2179.800000,C,1
1,2180.000000,C,1
1,2180.200000,C,1
1,2180.400000,C,1
1,2180.600000,C,1
1,2180.800000,C,1
1,2181.000000,C,1
1,2181.200000,C,1
1,2181.400000,C,1
1,2181.600000,C,1
1,2181.800000,C,1
1,2182.000000,C,1
1,2182.200000,C,1
1,2182.400000,C,1
